,Time (min),Valve Position (% open),Temperature (degC)
227,1135,100,43.4
228,1140,100,43.5
229,1145,100,43.8
230,1150,100,43.8
231,1155,100,43.8
232,1160,100,44.0
233,1165,100,44.0
234,1170,100,44.0
235,1175,100,44.1
236,1180,100,44.1
237,1185,100,44.2
238,1190,100,44.3
239,1195,100,44.2
240,1200,100,44.4
241,1205,100,44.4
242,1210,100,44.3
243,1215,100,44.4
244,1220,100,44.2
245,1225,100,44.2
246,1230,100,44.0
247,1235,100,44.1
248,1240,100,43.9
249,1245,100,43.9
250,1250,100,43.8
251,1255,100,44.0
252,1260,100,44.0
253,1265,100,43.8
254,1270,100,43.9
255,1275,100,43.9
256,1280,100,44.0
257,1285,100,44.0
258,1290,100,44.1
259,1295,100,44.1
260,1300,100,44.2
261,1305,100,43.9
262,1310,100,43.9
263,1315,100,44.0
264,1320,100,43.8
265,1325,100,43.9
266,1330,100,43.8
267,1335,100,43.9
268,1340,100,43.8
269,1345,100,43.6
270,1350,100,43.7
271,1355,100,43.7
272,1360,100,43.8
273,1365,100,43.7
274,1370,100,43.6
275,1375,100,43.8
276,1380,100,43.6
277,1385,100,43.7
278,1390,100,43.4
279,1395,100,43.4
280,1400,100,43.5
281,1405,100,43.4
282,1410,100,43.4
283,1415,100,43.6
284,1420,100,43.7
285,1425,100,43.6
286,1430,100,43.6
287,1435,100,43.5
288,1440,100,43.5
289,1445,100,43.6
290,1450,100,43.6
291,1455,100,43.5
292,1460,100,43.4
293,1465,100,43.6
294,1470,100,43.6
295,1475,100,43.6
296,1480,100,43.6
297,1485,100,43.7
298,1490,100,43.7
299,1495,100,43.7
300,1500,100,43.7
301,1505,100,43.6
302,1510,100,43.6
303,1515,100,43.7
304,1520,100,43.7
305,1525,100,43.5
306,1530,100,43.5
307,1535,100,43.7
308,1540,100,43.8
309,1545,100,43.7
310,1550,100,43.8
311,1555,100,43.8
312,1560,100,43.8
313,1565,100,43.8
314,1570,100,43.9
315,1575,100,44.0
316,1580,100,43.8
317,1585,100,43.9
318,1590,100,44.0
319,1595,100,44.1
320,1600,100,44.1
321,1605,100,44.1
322,1610,100,44.2
323,1615,100,44.0
324,1620,100,44.1
325,1625,100,44.0
326,1630,100,44.0
327,1635,100,44.1
328,1640,100,44.1
329,1645,100,44.2
330,1650,100,44.2
331,1655,100,44.2
332,1660,100,44.2
333,1665,100,44.1
334,1670,100,44.3
335,1675,100,44.3
336,1680,100,44.3
337,1685,100,44.5
338,1690,100,44.5
339,1695,100,44.5
340,1700,100,44.5
341,1705,100,44.5
342,1710,100,44.6
343,1715,100,44.7
344,1720,100,44.5
345,1725,100,44.7
346,1730,100,44.7
347,1735,100,44.9
348,1740,100,44.8
349,1745,100,45.0
350,1750,100,44.8
351,1755,100,44.9
352,1760,100,44.9
353,1765,100,45.0
354,1770,100,45.1
355,1775,100,45.1
356,1780,100,45.1
357,1785,100,45.2
358,1790,100,45.1
359,1795,100,45.2
360,1800,100,45.2
361,1805,100,45.3
362,1810,100,45.3
363,1815,100,45.2
364,1820,100,45.3
365,1825,100,45.2
366,1830,100,45.2
367,1835,100,45.3
368,1840,100,45.3
369,1845,100,45.2
370,1850,100,45.3
371,1855,100,45.2
372,1860,100,45.4
373,1865,100,45.4
374,1870,100,45.2
375,1875,100,45.4
376,1880,100,45.3
377,1885,100,45.4
378,1890,100,45.4
379,1895,100,45.2
380,1900,100,45.1
381,1905,100,45.2
382,1910,100,45.1
383,1915,100,45.3
384,1920,100,45.1
385,1925,100,45.2
386,1930,100,45.2
387,1935,100,45.0
388,1940,100,45.0
389,1945,100,45.1
390,1950,100,45.2
391,1955,100,45.0
392,1960,100,45.2
393,1965,100,45.3
394,1970,100,45.2
395,1975,100,45.3
396,1980,100,45.1
397,1985,100,45.2
398,1990,100,45.3
399,1995,100,45.3
400,2000,100,45.3
401,2005,100,45.3
402,2010,100,45.2
403,2015,100,45.3
404,2020,100,45.1
405,2025,100,45.3
406,2030,100,45.2
407,2035,100,45.2
408,2040,100,45.4
409,2045,100,45.2
410,2050,100,45.3
411,2055,100,45.4
412,2060,100,45.5
413,2065,100,45.4
414,2070,100,45.4
415,2075,100,45.3
416,2080,100,45.4
417,2085,100,45.3
418,2090,100,45.5
419,2095,100,45.4
420,2100,100,45.5
421,2105,100,45.3
422,2110,100,45.5
423,2115,100,45.5
424,2120,100,45.5
425,2125,100,45.3
426,2130,100,45.4
427,2135,100,45.4
428,2140,100,45.4
429,2145,100,45.5
430,2150,100,45.3
431,2155,100,45.5
432,2160,100,45.4
433,2165,100,45.5
434,2170,100,45.3
435,2175,100,45.5
436,2180,100,45.5
437,2185,100,45.5
438,2190,100,45.5
439,2195,100,45.4
440,2200,100,45.5
441,2205,100,45.3
442,2210,100,45.4
443,2215,100,45.4
444,2220,100,45.5
445,2225,100,45.3
446,2230,100,45.3
447,2235,100,45.4
448,2240,100,45.5
449,2245,100,45.5
450,2250,100,45.5
451,2255,100,45.5
452,2260,100,45.5
453,2265,100,45.5
454,2270,100,45.5
455,2275,100,45.6
456,2280,100,45.5
457,2285,100,45.6
458,2290,100,45.5
459,2295,100,45.5
460,2300,100,45.5
